HashOwner,HashApp,HashFunction,Average,Count,Minimum,Maximum,percentile_Average_0,percentile_Average_1,percentile_Average_25,percentile_Average_50,percentile_Average_75,percentile_Average_99,percentile_Average_100
104f438d72947b49216b97034e44c8f80e90b58c41c08afdad10f25a6eb1af7d,734bb9a04a1d2e6917f75e46c093a6c95d114970e624b9975b98bad86c12f14b,47658c9cff05caaffd85722b6f81dd163f680f03d4026474a098f966e2f528b3,306,7726495,0.0,144874.0,1,247,269,282,304,481,130686
188aa0effba52f3801b7ae0331267195e144dc4304c0ab33693bf4690b8bb790,786aab6a114579a1d20a7d3c43f67959f17fe480461c36818a8e52c4dccafd77,2b373145c4fa2c3447bb2a19be20d14120b76238b61c9eb9ac92f86821da3e6a,79,20859838,36.0,99838.0,59,70,75,77,82,116,99838
378bd6698347aeed7bdec1a8a70b987e2a39654d63648ac5f0ef2c00e9400f8d,407da163d1378268e37b6553d062d3486fafa63faacef51c38bb6bcc35130f1b,f8c5d1ba78b7d2f4d2d2a0d8bbc31f0b93185edce1d0788fbc362f22bd931af2,243,16395922,0.0,300140.0,111,149,192,219,267,556,1488
4021ec2da09b418eb8d9c51c0caffa3f715e63d9879619fcdf3724fa71de0ab4,f5ea97f8e1c2ae1ddb46d53158a6b12f7ce0163415d8d234dad227c83c6f6e35,e72c1540681c01fcedf92b51b790bf3d64dd9e56a5f9d1e02ee9c5471f9dc2fc,112,813397,1.0,63592.0,10,14,21,29,84,1238,56414
49d849c758f4ae2d7ce7b13ad4e65694268498be0e5f50b86b9a2d38bde6c023,94409f2485ebd997a61cbd06906595e4f3ef1846ed7406f9e3fa03cfa4d5060a,8203ff88388384a6f9ed28664e8e9484119ff340cb7dc0811a15194b3a507f0e,1649,124573109,104.0,195666.0,254,1124,1443,1607,1807,2556,160054
61bdf7c5097b00e6bb3e2d5b1fbdc814d5272f545acca15ca2a5752ccf340248,0fd42ec663f0c4667c1b2c28752e950772703ceb8c0ff2d501f1ec770bc4814b,9d133e10efe8865e06a5ad5690b94a1efc90fb7d89a6305638f2ee8dcc4f918e,96,6040562,0.0,65586.0,31,62,76,84,97,306,61275
88951a204c9282138dffd6431683a4cca6bd917a8f44358353ef0b8e870929dc,c89aaedc8b6ecd5ad8468f1fbd0d9020bc466890448b80b1744eefbf5720d6f3,308ecb6c8592f6f839007d57f001ad18314f443fc8df3f0a36727b6f891b3e1c,14,16057862,0.0,13009.0,0,6,11,14,17,24,669
af8dc95225d858382e01cd9d81d642eb1a2b59a266235ecb9b6357cbae8aa416,cbfcd771379faae0e23e7df0a0d47299ff292f03c14bcc25422b8102173030ea,cbf808658abbdd4d333d36cae5e87a7198442ae902126533cb9b463f0cc7166f,1,30526,0.0,1027.0,0,0,0,0,1,8,76
b324799d356ac7fcd493f495aefd8aa4556a705b77d96885c67cb1ed45808eb0,782b4e5700367eba22f4ce4ed25e8dbb02f2eb70cca4fc1a9fbb7c34959465a8,02158978e403150c2befd8b4176c717c4230186b25f7de41a83e27a13f0dd4e4,31,901101,13.0,9907.0,15,18,20,26,38,94,1730
c7eb557e2eb846d87bd18df93e7a4b9dd55e13be18d2061d0f7f3aca3b22a0b0,d57186c209c0b4353f4bcf3c166dc54bf69249bbf63d051aafd31da73fe2a59d,6590c82e22abcdaf4887f5e84c39b3d264276cb7fb5bd585cdde6e8966a58966,32,5127348,17.0,3018.0,19,25,30,32,34,40,91
